taxon	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19
Blautia	0	0	0	109	0	0	7	0	0	0	0	0	0	0	0	0	0	22	93
Brachybacterium	0	0	0	0	0	0	60	77	93	65	93	52	79	35	32	104	16	0	0
Bradyrhizobium	0	0	0	0	0	38	0	36	0	0	0	0	0	0	0	0	7	0	0
Brevibacterium	82	92	249	0	390	161	10	0	363	0	43	50	63	0	93	0	0	29	0
Brevundimonas	0	0	0	0	0	0	0	233	0	18	0	31	6	0	0	113	12	0	0
Burkholderiaceae__undef_	226	591	792	294	503	737	153	349	331	48	328	274	31	15	116	194	7	170	95
Butyricicoccus	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacteriaceae__undef_	0	0	0	0	0	47	0	0	0	7	0	0	0	0	0	0	19	38	74
Carnobacterium	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	109
Caulobacteraceae__undef_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0
Cellulosilyticum	0	0	134	0	2	0	0	0	55	0	0	60	0	0	0	72	0	0	26
Cellvibrio	0	0	97	49	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
Cellvibrionaceae__undef_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	252	235
Cellvibrionales__undef___undef_	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	7	826	618
Christensenellaceae_R-7_group	0	0	45	121	0	168	72	92	30	15	102	71	29	0	33	114	0	17	135
Chryseobacterium	965	196	1486	58	223	85	365	383	288	924	2100	5831	2613	1100	1194	1404	577	1315	1007
Clostridiales_Family_XIII__undef_	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0
Clostridiales_Family_XII__undef_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales_vadinBB60_group_Genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	83	695	10	263	0	174	437	105	68	114	145	116	147	46	240	442	32	129	150
Comamonadaceae__undef_	82	34	81	245	31	152	0	1722	41	135	111	112	5	0	40	624	0	120	14
Coprococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium	35	101	243	110	76	399	127	206	252	120	157	158	166	101	323	398	239	276	194
Curtobacterium	0	0	189	0	938	82	264	0	0	45	24	62	28	0	0	67	24	36	43
Cytophagaceae__undef_	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	171	0	0	0
Defluviitaleaceae_Genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dermatophilaceae__undef_	54	0	0	72	30	0	26	0	0	48	93	27	0	7	0	131	21	0	27
Devosia	0	0	0	240	0	0	0	40	0	0	0	26	0	12	39	47	15	24	24
Dietzia	0	27	0	14	0	0	0	0	0	0	0	0	0	0	13	0	11	42	14
Dyadobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
